Date,HomeTeam,AwayTeam,BetOn,BetTeam,ModelProb,ImpProb,Edge,Odds,Stake,Won,PnL,Bankroll,Strategy,OddsBucket
2002-08-17,Blackburn,Sunderland,H,Blackburn,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,261.69155866270074,0,-261.69155866270074,9738.3084413373,kelly,1.50–1.99
2002-08-17,Blackburn,Sunderland,A,Sunderland,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,192.0320567079959,0,-192.0320567079959,9546.276384629304,kelly,2.00–2.99
2002-08-17,Charlton,Chelsea,H,Charlton,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,249.81799465185745,0,-249.81799465185745,9296.458389977446,kelly,1.50–1.99
2002-08-17,Charlton,Chelsea,A,Chelsea,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,183.31910880433367,1,232.41145974943635,9528.869849726883,kelly,2.00–2.99
2002-08-17,Everton,Tottenham,H,Everton,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,249.36248032690432,0,-249.36248032690432,9279.507369399978,kelly,1.50–1.99
2002-08-17,Everton,Tottenham,A,Tottenham,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,182.98484753458652,0,-182.98484753458652,9096.522521865392,kelly,2.00–2.99
2002-08-17,Fulham,Bolton,H,Fulham,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,238.0483157157316,1,227.41306304663502,9323.935584912027,kelly,1.50–1.99
2002-08-17,Fulham,Bolton,A,Bolton,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,183.86093824911242,0,-183.86093824911242,9140.074646662915,kelly,2.00–2.99
2002-08-17,Leeds,Man City,H,Leeds,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,239.1880380578652,1,228.50186616657308,9368.576512829488,kelly,1.50–1.99
2002-08-17,Leeds,Man City,A,Man City,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,184.7412234909471,0,-184.7412234909471,9183.83528933854,kelly,2.00–2.99
2002-08-17,Man United,West Brom,H,Man United,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,240.3332171368518,1,229.59588223346373,9413.431171572003,kelly,1.50–1.99
2002-08-17,Man United,West Brom,A,West Brom,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,185.62572334255353,0,-185.62572334255353,9227.80544822945,kelly,2.00–2.99
2002-08-17,Southampton,Middlesbrough,H,Southampton,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,241.48387907833268,0,-241.48387907833268,8986.321569151118,kelly,1.50–1.99
2002-08-17,Southampton,Middlesbrough,A,Middlesbrough,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,177.20344591247513,0,-177.20344591247513,8809.118123238643,kelly,2.00–2.99
2002-08-18,Arsenal,Birmingham,H,Arsenal,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,230.52718521141657,1,220.22795308096627,9029.346076319609,kelly,1.50–1.99
2002-08-18,Arsenal,Birmingham,A,Birmingham,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,178.05185656307052,0,-178.05185656307052,8851.294219756539,kelly,2.00–2.99
2002-08-18,Aston Villa,Liverpool,H,Aston Villa,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,231.63089805502423,0,-231.63089805502423,8619.663321701515,kelly,1.50–1.99
2002-08-18,Aston Villa,Liverpool,A,Liverpool,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,169.97322335474442,1,215.49158304253805,8835.154904744053,kelly,2.00–2.99
2002-08-19,Newcastle,West Ham,H,Newcastle,0.5369956411123129,0.5114244201069647,0.025571221005348255,1.9553231341414035,231.20854580488768,1,220.87887261860155,9056.033777362654,kelly,1.50–1.99
2002-08-19,Newcastle,West Ham,A,West Ham,0.4630043561967578,0.44095652971119786,0.022047826485559918,2.267797237643685,178.57811778707836,0,-178.57811778707836,8877.455659575577,kelly,2.00–2.99
2002-08-23,Chelsea,Man United,H,Chelsea,0.5387813819152876,0.5131251256336072,0.025656256281680334,1.948842397388355,233.90227091481083,0,-233.90227091481083,8643.553388660766,kelly,1.50–1.99
2002-08-23,Chelsea,Man United,A,Man United,0.4612186154050475,0.4392558241952833,0.021962791209764188,2.276577668223296,169.2719840675778,0,-169.2719840675778,8474.281404593188,kelly,2.00–2.99
