BetTeam,bets,wins,profit,avg_edge,hit_rate,roi
Man City,402,258,14.989286375842553,0.031465757608725595,0.6417910447761194,0.00037286782029459086
Charlton,28,13,-137.28470692184436,0.024703685753485034,0.4642857142857143,-0.04903025247208727
Birmingham,27,11,-448.41592674521473,0.0241784448700823,0.4074074074074074,-0.16607997286859805
Blackburn,34,14,-519.2178778326252,0.024642107896247004,0.4117647058823529,-0.1527111405390074
Cardiff,21,7,-658.8903351063339,0.024108338877086816,0.3333333333333333,-0.31375730243158756
Luton,18,5,-766.7109170539558,0.02457030692427511,0.2777777777777778,-0.42595050947441987
Bolton,24,8,-770.115609792803,0.024049503642885005,0.3333333333333333,-0.32088150408033456
Middlesbrough,36,13,-977.9528544744813,0.02413532264369304,0.3611111111111111,-0.2716535706873559
Norwich,32,10,-1166.3887186601714,0.02413759395338222,0.3125,-0.3644964745813036
Stoke,45,16,-1204.9641457815483,0.02457849050134344,0.35555555555555557,-0.2677698101736774
Sheffield United,47,17,-1373.8788962522542,0.025320324757370883,0.3617021276595745,-0.29231465877707535
Ipswich,16,1,-1383.9457157731297,0.02431162242724642,0.0625,-0.864966072358206
Huddersfield,33,9,-1494.4873525056573,0.024012045814416863,0.2727272727272727,-0.45287495530474464
Swansea,44,13,-1765.396516657764,0.024609598514192456,0.29545454545454547,-0.4012264810585828
Liverpool,405,238,-2039.2544812996534,0.030454616282811046,0.5876543209876544,-0.05035196250122601
West Brom,52,14,-2158.3064872774753,0.023299264830693577,0.2692307692307692,-0.41505893986105297
Arsenal,385,212,-2474.058451524451,0.028992618941263513,0.5506493506493506,-0.06426125848115456
Watford,99,35,-2818.0957467856033,0.02433629583044729,0.35353535353535354,-0.28465613603894985
Sunderland,42,6,-2920.5504146031767,0.023690570456024136,0.14285714285714285,-0.6953691463340896
Nott'm Forest,84,27,-2927.9998064199553,0.024668126036666065,0.32142857142857145,-0.34857140552618515
Leeds,105,37,-3249.684380173458,0.024775084716788125,0.3523809523809524,-0.3094937504927103
Burnley,132,49,-3313.2989704421516,0.024615210670604903,0.3712121212121212,-0.2510074977607691
Brentford,128,48,-3434.656499093062,0.025415092584998362,0.375,-0.26833253899164544
Fulham,133,48,-3502.3562281457084,0.024232746100264633,0.3609022556390977,-0.2633350547477976
Leicester,229,105,-3538.6505424361403,0.026822093520476438,0.4585152838427948,-0.15452622456053014
Bournemouth,154,56,-3936.735921985405,0.02426885389046981,0.36363636363636365,-0.25563220272632503
Aston Villa,194,79,-4153.918630553894,0.02538122538473797,0.4072164948453608,-0.21411951703886054
Newcastle,283,123,-4453.731602663596,0.02565157355756833,0.43462897526501765,-0.15737567500578079
Man United,373,190,-4558.619795706367,0.028453294332747896,0.5093833780160858,-0.12221500792778463
Tottenham,363,179,-4835.008711417431,0.027583564482295,0.4931129476584022,-0.13319583227045265
Wolves,180,68,-4920.23095887351,0.02555334132974723,0.37777777777777777,-0.27334616438186166
Chelsea,366,178,-5193.54433888238,0.027971737157573225,0.48633879781420764,-0.14190011854869888
Southampton,186,66,-5575.729693875522,0.024755733979823766,0.3548387096774194,-0.2997704136492216
Crystal Palace,226,82,-6158.869784966269,0.024848254636886568,0.36283185840707965,-0.2725163621666491
West Ham,268,103,-6656.090174691086,0.025251534968858097,0.3843283582089552,-0.2483615736825032
Everton,269,101,-7059.498468337471,0.02515429761152622,0.3754646840148699,-0.2624348872987908
Brighton,205,60,-8683.445658935409,0.025329743969952,0.2926829268292683,-0.42358271507001993
