BetTeam,bets,wins,profit,avg_edge,hit_rate,roi
Arsenal,219,129,887.8911696415383,0.029492319562358982,0.589041095890411,0.1878400174911014
Man United,191,107,584.5648098410759,0.028860097078662956,0.5602094240837696,0.12930382835077237
Newcastle,114,48,290.26546708262015,0.025719994778258523,0.42105263157894735,0.07829324800888662
Liverpool,258,169,202.16109793208898,0.03082423892494309,0.6550387596899225,0.04603941052720037
Leicester,118,57,73.9860533302871,0.027177185591784545,0.4830508474576271,0.10274114745888954
Brentford,4,4,3.6139770423008724,0.02931955683789314,1.0,0.703303209355132
Burnley,45,23,0.7941660769168266,0.025655087421325936,0.5111111111111111,0.01150430585109525
Nott'm Forest,2,1,-0.4921989357238019,0.02932783026368274,0.5,-0.24002322045418992
Wolves,39,22,-1.7205700218306081,0.027444394421061953,0.5641025641025641,-0.03251431144014767
Ipswich,3,0,-3.30555891965425,0.026732980540436196,0.0,-1.0
Cardiff,19,7,-4.708960687085337,0.02410868651245229,0.3684210526315789,-0.20322925616722315
Sheffield United,13,5,-4.894395904375336,0.027707386682606732,0.38461538461538464,-0.3192790145068795
Huddersfield,27,7,-16.73097608799915,0.024007369274681785,0.25925925925925924,-0.36983217053337264
Brighton,43,12,-31.805761809354554,0.025466956950722142,0.27906976744186046,-0.4708070454974882
Tottenham,177,101,-69.94959145837512,0.027855553894901332,0.5706214689265536,-0.01843234142350121
Crystal Palace,62,24,-77.7850580986632,0.025018480038587178,0.3870967741935484,-0.15667155061738744
Norwich,25,9,-122.27062367513435,0.024402176167622303,0.36,-0.3165068158211594
Bournemouth,56,22,-155.3288696701411,0.0246289878084123,0.39285714285714285,-0.365140885649803
Chelsea,182,98,-165.95438278385572,0.028080139973483985,0.5384615384615384,-0.03866705188488819
Watford,63,24,-170.44526121191538,0.02477767508170314,0.38095238095238093,-0.3474955040248051
Stoke,40,15,-171.49461003302372,0.02461631737708444,0.375,-0.36798576026645186
Swansea,37,11,-180.8616106810983,0.024811230526987985,0.2972972972972973,-0.4518504450093466
Man City,282,201,-283.8375133708583,0.032016740353354875,0.7127659574468085,-0.07824907871150048
Everton,121,50,-301.3657569975657,0.025283801759828056,0.4132231404958678,-0.07680476477642317
Charlton,28,13,-452.6144412389778,0.024703685753485034,0.4642857142857143,-0.16990564178779097
Leeds,30,12,-481.03945685183925,0.02410552576959691,0.4,-0.16414138563365618
Fulham,41,17,-532.5621464353884,0.024122967589252736,0.4146341463414634,-0.17864582080688157
Birmingham,27,11,-543.8735960763491,0.0241784448700823,0.4074074074074074,-0.21229395692905484
Aston Villa,48,20,-627.0205269250023,0.025452316542663788,0.4166666666666667,-0.21173100827850774
Middlesbrough,36,13,-686.3867446659218,0.02413532264369304,0.3611111111111111,-0.20911129839481687
West Brom,39,10,-802.8831193953741,0.02362058642027875,0.2564102564102564,-0.3805913113535895
Blackburn,34,14,-907.8155792252393,0.024642107896247004,0.4117647058823529,-0.2790574044977969
Southampton,107,39,-967.3952665660364,0.025095505980772616,0.3644859813084112,-0.2640033600420008
Bolton,24,8,-1106.7283033292338,0.024049503642885005,0.3333333333333333,-0.5069902414091189
West Ham,104,36,-1562.2902714158527,0.02503595598446198,0.34615384615384615,-0.5885438889530422
Sunderland,24,4,-1588.7199704199525,0.023661737306401916,0.16666666666666666,-0.700875482085791
